Model,Difficulty,CoT Accuracy,CoT N,ToT Accuracy,ToT N,CoT-only Correct (b),ToT-only Correct (c),McNemar p-value,Significant (p<0.05),Direction
gemini,All,0.8166666666666667,120,0.8083333333333333,120,4,3,1.0,False,CoT > ToT
gemini,Easy,0.95,40,0.95,40,0,0,1.0,False,No difference
gemini,Medium,1.0,40,0.975,40,1,0,1.0,False,CoT > ToT
gemini,Hard,0.5,40,0.5,40,3,3,1.0,False,No difference
groq,All,0.8166666666666667,120,0.8833333333333333,120,1,9,0.021484375,True,ToT > CoT
groq,Easy,1.0,40,1.0,40,0,0,1.0,False,No difference
groq,Medium,1.0,40,1.0,40,0,0,1.0,False,No difference
groq,Hard,0.45,40,0.65,40,1,9,0.021484375,True,ToT > CoT
mistral,All,0.7833333333333333,120,0.8416666666666667,120,0,7,0.015625,True,ToT > CoT
mistral,Easy,0.975,40,0.975,40,0,0,1.0,False,No difference
mistral,Medium,1.0,40,1.0,40,0,0,1.0,False,No difference
mistral,Hard,0.375,40,0.55,40,0,7,0.015625,True,ToT > CoT
