Question ID,Failures (of 6)
PROB_H_002,6
COMB_H_005,6
ALG_H_004,6
PROB_H_005,6
PROB_H_004,6
PROB_H_003,6
ALG_H_011,6
NT_H_007,6
COMB_H_016,6
COMB_H_015,6
COMB_H_009,5
PROB_H_006,5
ALG_H_010,5
COMB_H_007,5
COMB_H_012,5
NT_H_001,4
COMB_H_014,4
ALG_H_006,4
COMB_H_013,4
NT_H_002,4
NT_H_004,3
COMB_H_011,2
PROB_H_008,2
ALG_H_015,2
ALG_H_016,2
NT_H_006,1
NT_H_009,1
NT_H_010,1
NT_H_011,1
PROB_H_007,1
COMB_H_010,1
ALG_H_014,1
COMB_H_006,1
ALG_H_003,1
ALG_H_007,1
COMB_H_002,1
ALG_H_009,1
COMB_H_008,1
PROB_H_001,0
ALG_H_005,0
ALG_H_008,0
ALG_H_012,0
ALG_H_002,0
ALG_H_013,0
COMB_H_001,0
NT_H_008,0
COMB_H_003,0
NT_H_005,0
COMB_H_004,0
NT_H_003,0
ALG_H_001,0
